LECROYWR64MXi,50182,Histogram
Segments,1,SegmentSize,100
Segment,TrigTime,TimeSinceSegment1
#1,26-May-2013 10:38:31,0                 
Time,Ampl
6.26e-009,0
6.27e-009,0
6.28e-009,0
6.29e-009,0
6.3e-009,0
6.31e-009,0
6.32e-009,0
6.33e-009,0
6.34e-009,0
6.35e-009,0
6.36e-009,0
6.37e-009,0
6.38e-009,0
6.39e-009,0
6.4e-009,0
6.41e-009,0
6.42e-009,0
6.43e-009,0
6.44e-009,0
6.45e-009,1
6.46e-009,0
6.47e-009,0
6.48e-009,2
6.49e-009,2
6.5e-009,0
6.51e-009,0
6.52e-009,2
6.53e-009,4
6.54e-009,3
6.55e-009,5
6.56e-009,9
6.57e-009,11
6.58e-009,10
6.59e-009,7
6.6e-009,14
6.61e-009,17
6.62e-009,24
6.63e-009,18
6.64e-009,27
6.65e-009,31
6.66e-009,34
6.67e-009,41
6.68e-009,40
6.69e-009,38
6.7e-009,46
6.71e-009,46
6.72e-009,42
6.73e-009,41
6.74e-009,51
6.75e-009,46
6.76e-009,46
6.77e-009,33
6.78e-009,47
6.79e-009,35
6.8e-009,33
6.81e-009,25
6.82e-009,25
6.83e-009,21
6.84e-009,25
6.85e-009,15
6.86e-009,19
6.87e-009,9
6.88e-009,17
6.89e-009,13
6.9e-009,7
6.91e-009,5
6.92e-009,1
6.93e-009,4
6.94e-009,2
6.95e-009,3
6.96e-009,0
6.97e-009,1
6.98e-009,1
6.99e-009,0
7e-009,1
7.01e-009,0
7.02e-009,0
7.03e-009,0
7.04e-009,0
7.05e-009,0
7.06e-009,0
7.07e-009,0
7.08e-009,0
7.09e-009,0
7.1e-009,0
7.11e-009,0
7.12e-009,0
7.13e-009,0
7.14e-009,0
7.15e-009,0
7.16e-009,0
7.17e-009,0
7.18e-009,0
7.19e-009,0
7.2e-009,0
7.21e-009,0
7.22e-009,0
7.23e-009,0
7.24e-009,0
7.25e-009,0
